timeseries,dataType
root.DianChang.d1.sensor271,FLOAT
root.DianChang.d1.sensor272,FLOAT
root.DianChang.d1.sensor273,FLOAT
root.DianChang.d1.sensor274,FLOAT
root.DianChang.d1.sensor275,FLOAT
root.DianChang.d1.sensor276,FLOAT
root.DianChang.d1.sensor277,FLOAT
root.DianChang.d1.sensor278,FLOAT
root.DianChang.d1.sensor279,FLOAT
root.DianChang.d1.sensor280,FLOAT
root.DianChang.d1.sensor281,FLOAT
root.DianChang.d1.sensor282,FLOAT
root.DianChang.d1.sensor283,FLOAT
root.DianChang.d1.sensor284,FLOAT
root.DianChang.d1.sensor285,FLOAT
root.DianChang.d1.sensor286,FLOAT
root.DianChang.d1.sensor287,FLOAT
root.DianChang.d1.sensor288,FLOAT
root.DianChang.d1.sensor289,FLOAT
root.DianChang.d1.sensor290,FLOAT
root.DianChang.d1.sensor291,FLOAT
root.DianChang.d1.sensor292,FLOAT
root.DianChang.d1.sensor293,FLOAT
root.DianChang.d1.sensor294,FLOAT
root.DianChang.d1.sensor295,FLOAT
root.DianChang.d1.sensor296,FLOAT
root.DianChang.d1.sensor297,FLOAT
root.DianChang.d1.sensor298,FLOAT
root.DianChang.d1.sensor299,FLOAT
root.DianChang.d1.sensor300,FLOAT
root.DianChang.d1.sensor301,FLOAT
root.DianChang.d1.sensor302,FLOAT
root.DianChang.d1.sensor303,FLOAT
root.DianChang.d1.sensor304,FLOAT
root.DianChang.d1.sensor305,FLOAT
root.DianChang.d1.sensor306,FLOAT
root.DianChang.d1.sensor307,FLOAT
root.DianChang.d1.sensor308,FLOAT
root.DianChang.d1.sensor309,FLOAT
root.DianChang.d1.sensor310,FLOAT
root.DianChang.d1.sensor311,FLOAT
root.DianChang.d1.sensor312,FLOAT
root.DianChang.d1.sensor313,FLOAT
root.DianChang.d1.sensor314,FLOAT
root.DianChang.d1.sensor315,FLOAT
root.DianChang.d1.sensor316,FLOAT
root.DianChang.d1.sensor317,FLOAT
root.DianChang.d1.sensor318,FLOAT
root.DianChang.d1.sensor319,FLOAT
root.DianChang.d1.sensor320,FLOAT
root.DianChang.d1.sensor321,FLOAT
root.DianChang.d1.sensor322,FLOAT
root.DianChang.d1.sensor323,FLOAT
root.DianChang.d1.sensor324,FLOAT
root.DianChang.d1.sensor325,FLOAT
root.DianChang.d1.sensor326,FLOAT
root.DianChang.d1.sensor327,FLOAT
root.DianChang.d1.sensor328,FLOAT
root.DianChang.d1.sensor329,FLOAT
root.DianChang.d1.sensor330,FLOAT
root.DianChang.d1.sensor331,FLOAT
root.DianChang.d1.sensor332,FLOAT
root.DianChang.d1.sensor333,FLOAT
root.DianChang.d1.sensor334,FLOAT
root.DianChang.d1.sensor335,FLOAT
root.DianChang.d1.sensor336,FLOAT
root.DianChang.d1.sensor337,FLOAT
root.DianChang.d1.sensor338,FLOAT
root.DianChang.d1.sensor339,FLOAT
root.DianChang.d1.sensor340,FLOAT
root.DianChang.d1.sensor341,FLOAT
root.DianChang.d1.sensor342,FLOAT
root.DianChang.d1.sensor343,FLOAT
root.DianChang.d1.sensor344,FLOAT
root.DianChang.d1.sensor345,FLOAT
root.DianChang.d1.sensor346,FLOAT
root.DianChang.d1.sensor347,FLOAT
root.DianChang.d1.sensor348,FLOAT
root.DianChang.d1.sensor349,FLOAT
root.DianChang.d1.sensor350,FLOAT
root.DianChang.d1.sensor351,FLOAT
root.DianChang.d1.sensor352,FLOAT
root.DianChang.d1.sensor353,FLOAT
root.DianChang.d1.sensor354,FLOAT
root.DianChang.d1.sensor355,FLOAT
root.DianChang.d1.sensor356,FLOAT
root.DianChang.d1.sensor357,FLOAT
root.DianChang.d1.sensor358,FLOAT
root.DianChang.d1.sensor359,FLOAT
root.DianChang.d1.sensor360,FLOAT
root.DianChang.d1.sensor361,FLOAT
root.DianChang.d1.sensor362,FLOAT
root.DianChang.d1.sensor363,FLOAT
root.DianChang.d1.sensor364,FLOAT
root.DianChang.d1.sensor365,FLOAT
root.DianChang.d1.sensor366,FLOAT
root.DianChang.d1.sensor367,FLOAT
root.DianChang.d1.sensor368,FLOAT
root.DianChang.d1.sensor369,FLOAT
root.DianChang.d1.sensor370,FLOAT
root.DianChang.d1.sensor371,FLOAT
root.DianChang.d1.sensor372,FLOAT
root.DianChang.d1.sensor373,FLOAT
root.DianChang.d1.sensor374,FLOAT
root.DianChang.d1.sensor375,FLOAT
root.DianChang.d1.sensor376,FLOAT
root.DianChang.d1.sensor377,FLOAT
root.DianChang.d1.sensor378,FLOAT
root.DianChang.d1.sensor379,FLOAT
root.DianChang.d1.sensor380,FLOAT
root.DianChang.d1.sensor381,FLOAT
